id,name,type,currentNav
1758304345436,"NDBW income fund",Income,35.0918

#Transactions
date,amount,nav,units
2025-09-08,10000,33.6746,296.95972632191626
2025-09-29,50000,33.8309,1477.9388074216176
2025-12-29,50000,34.5332,1447.8820381545875
2026-01-26,50000,34.7686,1438.0791863923196
2026-02-26,50000,35.0341,1427.1809465634908
